Date,PositionQty,Price,Balance,PositionValue,PositionRatio,Side
2020-07-30,21996,11108.50,1.68206857,1.98010532,1.1772,Long
2020-07-31,49654,11127.50,1.77104000,4.46227814,2.5196,Long
2020-08-01,53320,11361.00,1.76073868,4.69324883,2.6655,Long
2020-08-02,0,11827.50,2.08296935,0.00000000,0.0000,Flat
2020-08-03,30922,11072.00,2.70630557,2.79281069,1.0320,Long
2020-08-04,5533,11244.00,2.62772350,0.49208467,0.1873,Long
2020-08-05,20665,11188.00,3.01106795,1.84706829,0.6134,Long
2020-08-06,0,11765.50,3.11522551,0.00000000,0.0000,Flat
2020-08-07,0,11768.50,3.20381208,0.00000000,0.0000,Flat
2020-08-08,-15999,11600.00,3.21513283,1.37922414,-0.4290,Short
2020-08-09,29778,11773.00,3.63045376,2.52934681,0.6967,Long
2020-08-10,51554,11691.00,3.82833657,4.40971688,1.1519,Long
2020-08-11,0,11900.50,3.79557085,0.00000000,0.0000,Flat
2020-08-12,-3296,11383.00,3.93950223,0.28955460,-0.0735,Short
2020-08-13,0,11570.50,4.63783590,0.00000000,0.0000,Flat
2020-08-14,55550,11805.00,4.74564231,4.70563321,0.9916,Long
2020-08-15,49995,11777.00,5.16316051,4.24513883,0.8222,Long
2020-08-16,5555,11864.50,5.32569517,0.46820346,0.0879,Long
2020-08-17,32220,11926.00,5.32552582,2.70166024,0.5073,Long
2020-08-18,-12548,12308.50,5.33486302,1.01945810,-0.1911,Short
2020-08-19,-12548,11956.50,5.64063754,1.04947100,-0.1861,Short
2020-08-20,11110,11761.00,5.77308362,0.94464756,0.1636,Long
2020-08-21,4444,11869.00,5.77401413,0.37442076,0.0648,Long
2020-08-22,-59440,11529.50,5.82093096,5.15547075,-0.8857,Short
2020-08-23,-54218,11675.50,5.92796982,4.64374117,-0.7834,Short
2020-08-24,-44218,11657.00,5.93755967,3.79325727,-0.6389,Short
2020-08-25,-83880,11757.50,5.93345976,7.13416968,-1.2024,Short
2020-08-26,37205,11319.00,5.99550381,3.28695114,0.5482,Long
2020-08-27,-19789,11466.00,6.31277283,1.72588523,-0.2734,Short
2020-08-28,12863,11331.50,6.36715284,1.13515422,0.1783,Long
2020-08-29,22195,11528.50,6.08068691,1.92522878,0.3166,Long
2020-08-30,40193,11483.00,6.07872119,3.50021771,0.5758,Long
2020-08-31,89106,11719.00,6.29746711,7.60354979,1.2074,Long
2020-09-01,54994,11658.00,6.32503142,4.71727569,0.7458,Long
2020-09-02,113654,11937.00,7.02274970,9.52115272,1.3558,Long
2020-09-03,369304,11398.50,7.81212704,32.39935079,4.1473,Long
2020-09-04,242850,10144.00,7.10189741,23.94026025,3.3710,Long
2020-09-05,5999,10455.00,7.73055994,0.57379244,0.0742,Long
2020-09-06,38995,10161.50,7.21375630,3.83752399,0.5320,Long
2020-09-07,11997,10250.50,8.31549439,1.17038193,0.1407,Long
2020-09-08,7998,10379.50,8.53828839,0.77055735,0.0902,Long
2020-09-09,25991,10126.50,9.09762613,2.56663210,0.2821,Long
2020-09-10,25991,10222.50,8.63085984,2.54252874,0.2946,Long
2020-09-11,0,10343.00,8.69870807,0.00000000,0.0000,Flat
2020-09-12,0,10395.50,8.70437814,0.00000000,0.0000,Flat
2020-09-13,2999,10441.00,8.71600800,0.28723302,0.0330,Long
2020-09-14,62987,10328.00,8.71910718,6.09866383,0.6995,Long
2020-09-15,0,10671.50,8.68111871,0.00000000,0.0000,Flat
2020-09-16,0,10776.00,8.96235292,0.00000000,0.0000,Flat
2020-09-17,-17997,10949.50,8.94717143,1.64363670,-0.1837,Short
2020-09-18,0,10942.00,8.79544524,0.00000000,0.0000,Flat
2020-09-19,0,10927.50,8.92841301,0.00000000,0.0000,Flat
2020-09-20,0,11080.00,8.95339149,0.00000000,0.0000,Flat
2020-09-21,-69997,10913.00,8.96637668,6.41409328,-0.7153,Short
2020-09-22,0,10411.00,9.38021702,0.00000000,0.0000,Flat
2020-09-23,0,10523.00,9.57908863,0.00000000,0.0000,Flat
2020-09-24,118555,10228.00,9.54150759,11.59122018,1.2148,Long
2020-09-25,0,10739.50,9.28270691,0.00000000,0.0000,Flat
2020-09-26,58555,10689.00,9.02015986,5.47806156,0.6073,Long
2020-09-27,58555,10729.50,8.91193111,5.45738385,0.6124,Long
2020-09-28,0,10775.00,8.57740110,0.00000000,0.0000,Flat
2020-09-29,325320,10688.00,8.56480636,30.43787425,3.5538,Long
2020-09-30,153333,10839.50,8.18794018,14.14576318,1.7276,Long
2020-10-01,99999,10778.50,8.71495258,9.27763603,1.0646,Long
2020-10-02,313333,10607.00,8.67321040,29.54020930,3.4059,Long
2020-10-03,418773,10563.50,5.45021084,39.64339471,7.2737,Long
2020-10-04,327546,10544.00,5.53076704,31.06468134,5.6167,Long
2020-10-05,598706,10672.50,5.55823657,56.09800890,10.0928,Long
2020-10-06,162890,10788.50,5.75339443,15.09848450,2.6243,Long
2020-10-07,512432,10591.00,5.71803374,48.38372203,8.4616,Long
2020-10-08,512432,10668.50,5.27091995,48.03224446,9.1127,Long
2020-10-09,82408,10926.50,5.21862307,7.54203084,1.4452,Long
2020-10-10,15772,11056.50,6.71132776,1.42649120,0.2125,Long
2020-10-11,53332,11297.00,6.81806631,4.72089935,0.6924,Long
2020-10-12,66665,11371.00,6.80262446,5.86272096,0.8618,Long
2020-10-13,0,11544.00,6.82221002,0.00000000,0.0000,Flat
2020-10-14,93331,11424.00,7.02030986,8.16973039,1.1637,Long
2020-10-15,173329,11416.50,7.06019121,15.18232383,2.1504,Long
2020-10-16,539999,11510.00,6.29385321,46.91563858,7.4542,Long
2020-10-17,359405,11320.00,5.77255809,31.74955830,5.5001,Long
2020-10-18,0,11364.00,5.75156839,0.00000000,0.0000,Flat
2020-10-19,331108,11507.00,5.77325457,28.77448510,4.9841,Long
2020-10-20,106666,11752.00,5.65439124,9.07641253,1.6052,Long
2020-10-21,65670,11914.50,6.27014075,5.51177137,0.8791,Long
2020-10-22,56398,12814.00,6.62865596,4.40127985,0.6640,Long
2020-10-23,23701,12990.50,7.49581931,1.82448713,0.2434,Long
2020-10-24,77645,12941.00,7.57127775,5.99992273,0.7925,Long
2020-10-25,77645,13129.50,7.56349334,5.91378194,0.7819,Long
2020-10-26,105617,13038.00,7.54463066,8.10070563,1.0737,Long
2020-10-27,153047,13069.00,7.54094844,11.71068942,1.5529,Long
2020-10-28,-110070,13642.50,7.56001825,8.06816932,-1.0672,Short
2020-10-29,0,13268.00,7.85434423,0.00000000,0.0000,Flat
2020-10-30,-442753,13461.50,7.84963376,32.89031683,-4.1900,Short
2020-10-31,0,13557.50,8.20154209,0.00000000,0.0000,Flat
2020-11-01,-44440,13802.50,7.40340268,3.21970657,-0.4349,Short
2020-11-02,-86784,13756.50,7.02830105,6.30858140,-0.8976,Short
2020-11-03,-449633,13566.00,6.99932725,33.14411028,-4.7353,Short
2020-11-04,-344015,14034.00,7.14459034,24.51296851,-3.4310,Short
2020-11-05,0,14151.50,6.08793525,0.00000000,0.0000,Flat
2020-11-06,-420997,15605.00,5.98342431,26.97834028,-4.5088,Short
2020-11-07,-159333,15608.50,3.61748989,10.20809174,-2.8219,Short
2020-11-08,6666,14838.00,4.68043917,0.44925192,0.0960,Long
2020-11-09,9999,15499.00,5.32589324,0.64513840,0.1211,Long
2020-11-10,0,15342.50,5.35373067,0.00000000,0.0000,Flat
2020-11-11,81176,15309.50,5.36695417,5.30232862,0.9880,Long
2020-11-12,295424,15719.00,5.85077946,18.79407087,3.2122,Long
2020-11-13,268496,16316.00,5.87969826,16.45599412,2.7988,Long
2020-11-14,0,16340.00,7.13683195,0.00000000,0.0000,Flat
2020-11-15,-146928,16083.00,7.30866576,9.13560903,-1.2500,Short
2020-11-16,-22222,15973.00,7.17203554,1.39122269,-0.1940,Short
2020-11-17,-90392,16718.00,6.73534608,5.40686685,-0.8028,Short
2020-11-18,0,17683.50,7.16492398,0.00000000,0.0000,Flat
2020-11-19,0,17788.50,7.02174397,0.00000000,0.0000,Flat
2020-11-20,-12728,17824.00,6.92878449,0.71409336,-0.1031,Short
2020-11-21,-379092,18672.50,6.82159932,20.30215558,-2.9762,Short
2020-11-22,-209414,18725.00,6.37218686,11.18365821,-1.7551,Short
2020-11-23,-209414,18464.00,6.47327961,11.34174610,-1.7521,Short
2020-11-24,-220983,18393.50,6.46060708,12.01418980,-1.8596,Short
2020-11-25,-11569,19193.00,5.52823084,0.60277184,-0.1090,Short
2020-11-26,-261520,18751.00,5.33169191,13.94698949,-2.6159,Short
2020-11-27,54000,17165.50,8.16304020,3.14584486,0.3854,Long
2020-11-28,0,17153.00,9.58048134,0.00000000,0.0000,Flat
2020-11-29,-256000,17736.50,9.51938541,14.43351281,-1.5162,Short
2020-11-30,-480000,18195.00,9.39357446,26.38087387,-2.8084,Short
2020-12-01,249696,19714.50,9.29345922,12.66560146,1.3629,Long
2020-12-02,133180,18793.00,6.20755659,7.08668121,1.1416,Long
2020-12-03,254219,19221.50,7.31590238,13.22576282,1.8078,Long
2020-12-04,157583,19450.50,7.67434964,8.10174546,1.0557,Long
2020-12-05,-65299,18658.50,8.12649415,3.49969183,-0.4307,Short
2020-12-06,-165639,19155.50,8.14395781,8.64707264,-1.0618,Short
2020-12-07,-145554,19394.00,8.12543330,7.50510467,-0.9237,Short
2020-12-08,-178664,19188.00,8.00412474,9.31123619,-1.1633,Short
2020-12-09,-211433,18306.50,7.80897979,11.54961353,-1.4790,Short
2020-12-10,0,18533.00,8.37461065,0.00000000,0.0000,Flat
2020-12-11,0,18247.00,8.47150897,0.00000000,0.0000,Flat
2020-12-12,0,18037.50,8.46063403,0.00000000,0.0000,Flat
2020-12-13,1332,18812.50,8.49725840,0.07080399,0.0083,Long
2020-12-14,1332,19172.00,8.70203796,0.06947632,0.0080,Long
2020-12-15,1332,19272.00,8.93986768,0.06911582,0.0077,Long
2020-12-16,127996,19439.00,8.93271586,6.58449509,0.7371,Long
2020-12-17,2222,21380.00,8.87522537,0.10392891,0.0117,Long
2020-12-18,1111,22821.50,11.26722390,0.04868216,0.0043,Long
2020-12-19,10666,23134.50,11.59554360,0.46104303,0.0398,Long
2020-12-20,15999,23874.50,11.81637407,0.67012922,0.0567,Long
2020-12-21,124440,23491.00,11.90130527,5.29734792,0.4451,Long
2020-12-22,12111,22741.50,11.89857666,0.53255062,0.0448,Long
2020-12-23,36333,23835.00,11.03313012,1.52435494,0.1382,Long
2020-12-24,24222,23241.00,10.94713596,1.04220989,0.0952,Long
2020-12-25,24222,23740.00,10.32484539,1.02030329,0.0988,Long
2020-12-26,10222,24728.50,8.38109459,0.41336919,0.0493,Long
2020-12-27,0,26490.00,8.47881340,0.00000000,0.0000,Flat
2020-12-28,6666,26254.00,8.47666493,0.25390417,0.0300,Long
2020-12-29,6666,27039.50,10.76693670,0.24652823,0.0229,Long
2020-12-30,0,27379.50,10.57342607,0.00000000,0.0000,Flat
2020-12-31,0,28907.50,10.57020479,0.00000000,0.0000,Flat
2021-01-01,-2775,28951.00,10.54057138,0.09585161,-0.0091,Short
2021-01-02,-34104,29402.50,10.68164530,1.15990137,-0.1086,Short
2021-01-03,0,32185.00,10.61144271,0.00000000,0.0000,Flat
2021-01-04,16665,33062.50,10.39094685,0.50404537,0.0485,Long
2021-01-05,-68124,32044.50,10.04792509,2.12591864,-0.2116,Short
2021-01-06,0,34107.50,10.15491099,0.00000000,0.0000,Flat
2021-01-07,0,36883.00,8.52003847,0.00000000,0.0000,Flat
2021-01-08,-204000,39487.00,8.02415302,5.16625725,-0.6438,Short
2021-01-09,0,40600.00,8.52773045,0.00000000,0.0000,Flat
