Timestamp,Symbol,Open,High,Low,Close,Volume,Trades
2015-09-26T00:00:00Z,XBTUSD,239.99,239.99,234.81,235.20,190090,153
2015-09-27T00:00:00Z,XBTUSD,235.20,235.36,232.91,234.51,258488,146
2015-09-28T00:00:00Z,XBTUSD,234.51,234.76,233.03,233.29,161013,101
2015-09-29T00:00:00Z,XBTUSD,233.29,243.19,232.90,240.07,319143,262
2015-09-30T00:00:00Z,XBTUSD,240.07,241.50,235.81,237.00,368771,285
2015-10-01T00:00:00Z,XBTUSD,237.00,238.20,235.56,236.55,294736,159
2015-10-02T00:00:00Z,XBTUSD,236.55,239.53,234.63,238.10,180356,67
2015-10-03T00:00:00Z,XBTUSD,238.10,238.99,237.09,238.00,133911,68
2015-10-04T00:00:00Z,XBTUSD,238.00,241.00,237.53,239.67,127411,121
2015-10-05T00:00:00Z,XBTUSD,239.67,239.93,238.30,238.58,148659,62
2015-10-06T00:00:00Z,XBTUSD,238.58,240.85,237.77,240.85,255736,146
2015-10-07T00:00:00Z,XBTUSD,240.85,249.00,240.68,247.09,536943,475
2015-10-08T00:00:00Z,XBTUSD,247.09,247.80,243.43,243.43,428099,258
2015-10-09T00:00:00Z,XBTUSD,243.43,245.73,243.00,243.19,393019,136
2015-10-10T00:00:00Z,XBTUSD,243.19,244.91,242.99,244.40,466508,149
2015-10-11T00:00:00Z,XBTUSD,244.40,246.08,243.77,246.00,300969,142
2015-10-12T00:00:00Z,XBTUSD,246.00,248.56,245.18,248.13,657289,188
2015-10-13T00:00:00Z,XBTUSD,248.13,248.41,245.70,246.38,710444,219
2015-10-14T00:00:00Z,XBTUSD,246.38,251.49,244.47,250.76,1284157,395
2015-10-15T00:00:00Z,XBTUSD,250.76,255.55,249.99,253.32,1196167,360
2015-10-16T00:00:00Z,XBTUSD,253.32,257.18,253.04,254.86,3508869,432
2015-10-17T00:00:00Z,XBTUSD,254.86,267.55,254.88,263.89,4632494,1338
2015-10-18T00:00:00Z,XBTUSD,263.89,278.51,263.00,273.91,9988015,1765
2015-10-19T00:00:00Z,XBTUSD,273.91,275.05,262.00,265.63,3216612,763
2015-10-20T00:00:00Z,XBTUSD,265.63,270.69,261.55,265.35,2241882,625
2015-10-21T00:00:00Z,XBTUSD,265.35,274.49,264.68,271.85,2770928,1013
2015-10-22T00:00:00Z,XBTUSD,271.85,273.45,263.88,268.37,2806074,1190
2015-10-23T00:00:00Z,XBTUSD,268.37,280.00,267.65,276.90,2263003,715
2015-10-24T00:00:00Z,XBTUSD,276.90,282.38,275.47,279.80,1898945,744
2015-10-25T00:00:00Z,XBTUSD,279.80,286.90,278.35,285.39,2753916,905
2015-10-26T00:00:00Z,XBTUSD,285.39,299.51,282.90,285.79,5663816,1651
2015-10-27T00:00:00Z,XBTUSD,285.79,292.29,281.01,289.32,3596017,924
2015-10-28T00:00:00Z,XBTUSD,289.32,305.32,286.89,296.51,4671955,1576
2015-10-29T00:00:00Z,XBTUSD,296.51,310.36,296.60,306.99,4231430,1662
2015-10-30T00:00:00Z,XBTUSD,306.99,322.00,303.14,316.60,5642264,1889
2015-10-31T00:00:00Z,XBTUSD,316.60,336.81,300.00,333.00,7526523,2708
2015-11-01T00:00:00Z,XBTUSD,333.00,338.70,307.53,317.73,5842767,1759
2015-11-02T00:00:00Z,XBTUSD,317.73,335.00,314.00,331.38,2599899,1312
2015-11-03T00:00:00Z,XBTUSD,331.38,380.00,326.95,371.98,3855966,2911
2015-11-04T00:00:00Z,XBTUSD,371.98,440.00,365.18,422.00,6102534,4136
2015-11-05T00:00:00Z,XBTUSD,422.00,558.00,382.00,424.00,5738641,6073
2015-11-06T00:00:00Z,XBTUSD,424.00,472.73,375.00,402.00,3820602,4258
2015-11-07T00:00:00Z,XBTUSD,402.00,408.32,359.00,377.61,3353266,3348
2015-11-08T00:00:00Z,XBTUSD,377.61,394.99,373.91,384.34,2032334,2390
2015-11-09T00:00:00Z,XBTUSD,384.34,394.82,365.00,372.00,1938629,2357
2015-11-10T00:00:00Z,XBTUSD,372.00,395.21,361.32,383.25,2043266,2307
2015-11-11T00:00:00Z,XBTUSD,383.25,385.96,326.88,339.45,3018387,3044
2015-11-12T00:00:00Z,XBTUSD,339.45,344.00,301.09,314.50,3906724,5000
2015-11-13T00:00:00Z,XBTUSD,314.50,349.84,313.70,338.25,3688177,4733
2015-11-14T00:00:00Z,XBTUSD,338.25,344.75,325.21,338.81,1939377,2873
2015-11-15T00:00:00Z,XBTUSD,338.81,345.03,329.31,333.63,1637971,2456
2015-11-16T00:00:00Z,XBTUSD,333.63,335.08,314.50,320.43,1621865,1831
2015-11-17T00:00:00Z,XBTUSD,320.43,334.77,314.10,332.05,1502612,1497
2015-11-18T00:00:00Z,XBTUSD,332.05,342.69,331.15,336.40,1530487,2543
2015-11-19T00:00:00Z,XBTUSD,336.40,339.69,328.77,336.50,1208577,2198
2015-11-20T00:00:00Z,XBTUSD,336.50,336.84,324.85,326.65,1209300,1614
2015-11-21T00:00:00Z,XBTUSD,326.65,327.37,309.99,322.09,1878107,2360
2015-11-22T00:00:00Z,XBTUSD,322.09,330.62,319.67,328.24,1113793,1135
2015-11-23T00:00:00Z,XBTUSD,328.24,328.60,319.81,324.92,912601,938
2015-11-24T00:00:00Z,XBTUSD,324.92,331.94,320.96,323.81,803797,1317
2015-11-25T00:00:00Z,XBTUSD,323.81,323.76,315.79,319.80,927965,1517
2015-11-26T00:00:00Z,XBTUSD,319.80,334.49,315.84,329.42,1220511,2020
2015-11-27T00:00:00Z,XBTUSD,329.42,372.42,329.25,354.20,3054060,4410
2015-11-28T00:00:00Z,XBTUSD,354.20,367.40,350.00,361.70,2415770,3817
2015-11-29T00:00:00Z,XBTUSD,361.70,362.29,350.00,359.72,1678983,2750
2015-11-30T00:00:00Z,XBTUSD,359.72,382.74,355.10,379.50,1407040,2373
2015-12-01T00:00:00Z,XBTUSD,379.50,388.50,373.32,381.43,2619821,4803
